$BaseInfo,$NetSize,$ListSize,|Run,|Epoch,#SSE,#AvgSSE,#PctErr,#PctCor,#CosDiff,#Mem,#TrgOnWasOff,#TrgOffWasOn,#AvgErrorSignal
PreTest_EDL_ListSize20_SmallHip,default,20,0,0,71.38,0.2428,1,0,0.006211,0,0.8217,0.169,0.1222
PreTrain_EDL_ListSize20_SmallHip,default,20,0,0,67.33,0.229,1,0,0.05836,0,0.7875,0.1609,0.1372
PostTrain_EDL_ListSize20_SmallHip,default,20,0,0,59.48,0.2023,1,0,0.1833,0,0.6958,0.1395,0.1049
PostTest_EDL_ListSize20_SmallHip,default,20,0,0,59.3,0.2017,1,0,0.2354,0,0.6333,0.1447,0.1158
PreTest_NoEDL_ListSize20_SmallHip,default,20,0,0,71.04,0.2416,1,0,0.024,0,0.8092,0.1662,0.1251
PreTrain_NoEDL_ListSize20_SmallHip,default,20,0,0,66.13,0.2249,1,0,0.06977,0,0.7825,0.159,0.1224
PostTrain_NoEDL_ListSize20_SmallHip,default,20,0,0,60.59,0.2061,1,0,0.1668,0,0.7083,0.1412,0.1316
PostTest_NoEDL_ListSize20_SmallHip,default,20,0,0,61.23,0.2083,1,0,0.2006,0,0.665,0.1502,0.1812
PreTest_EDL_ListSize20_MedHip,default,20,0,0,69.03,0.2348,1,0,0.03728,0,0.8217,0.1494,0.1608
PreTrain_EDL_ListSize20_MedHip,default,20,0,0,54.69,0.186,1,0,0.2001,0,0.7217,0.1124,0.2214
PostTrain_EDL_ListSize20_MedHip,default,20,0,0,56.51,0.1922,1,0,0.2208,0,0.6883,0.1216,0.1014
PostTest_EDL_ListSize20_MedHip,default,20,0,0,53.47,0.1819,1,0,0.3048,0,0.6067,0.1147,0.1633
PreTest_NoEDL_ListSize20_MedHip,default,20,0,0,66.94,0.2277,1,0,0.06871,0,0.79,0.1511,0.1109
PreTrain_NoEDL_ListSize20_MedHip,default,20,0,0,63.96,0.2176,1,0,0.05944,0,0.8167,0.1338,0.1744
