$BaseInfo,|Run,|Epoch,|Trial,$TrialName,#SSE,#AvgSSE,#CosDiff,#Mem,#TrgOnWasOff,#TrgOffWasOn,#ErrorSignal
PreTest_EDL_ListSize20_SmallHip,0,0,0,PreTest11,71.68,0.2438,-0.05658,0,0.8833,0.1624,0.0602
PreTest_EDL_ListSize20_SmallHip,0,0,1,PreTest10,69.65,0.2369,0.0501,0,0.7833,0.1624,0.05138
PreTest_EDL_ListSize20_SmallHip,0,0,2,PreTest2,76.96,0.2618,-0.0369,0,0.8333,0.1923,0.1474
PreTest_EDL_ListSize20_SmallHip,0,0,3,PreTest18,72.55,0.2468,0.01049,0,0.8167,0.1624,0.1453
PreTest_EDL_ListSize20_SmallHip,0,0,4,PreTest12,62.17,0.2115,0.1283,0,0.75,0.1453,0.1266
PreTest_EDL_ListSize20_SmallHip,0,0,5,PreTest4,81.22,0.2762,-0.1325,0,0.9167,0.2051,0.2061
PreTest_EDL_ListSize20_SmallHip,0,0,6,PreTest6,70.24,0.2389,0.05213,0,0.7833,0.1709,0.02207
PreTest_EDL_ListSize20_SmallHip,0,0,7,PreTest8,77.45,0.2634,-0.07264,0,0.8667,0.1795,0.1344
PreTest_EDL_ListSize20_SmallHip,0,0,8,PreTest16,75.91,0.2582,-0.07627,0,0.9,0.1795,0.2379
PreTest_EDL_ListSize20_SmallHip,0,0,9,PreTest13,55.65,0.1893,0.1967,0,0.7,0.1197,0.2563
PreTest_EDL_ListSize20_SmallHip,0,0,10,PreTest9,73.5,0.25,0.002596,0,0.8,0.1838,0.1493
PreTest_EDL_ListSize20_SmallHip,0,0,11,PreTest3,68.01,0.2313,0.02621,0,0.8167,0.1453,0.09833
PreTest_EDL_ListSize20_SmallHip,0,0,12,PreTest17,67.43,0.2294,0.06928,0,0.7833,0.1581,0.04932
PreTest_EDL_ListSize20_SmallHip,0,0,13,PreTest19,75.71,0.2575,-0.02098,0,0.8333,0.188,0.05131
PreTest_EDL_ListSize20_SmallHip,0,0,14,PreTest0,75.41,0.2565,-0.04283,0,0.85,0.1752,0.109
PreTest_EDL_ListSize20_SmallHip,0,0,15,PreTest15,70.19,0.2387,0.03058,0,0.8,0.1667,0.1286
PreTest_EDL_ListSize20_SmallHip,0,0,16,PreTest7,72.11,0.2453,-0.04448,0,0.8667,0.1752,0.06762
